Model,              Optimal,                GlopPrimal_i7, GlopDualPerturb_i7, GlopDualDefault_i7, ClpEither_i7, ClpDualCrash_i7, ClpPrimal_i7
80bau38.mps,        987224.1924090903,      308,    171,    164,    152,    332,    382
cre-d.mps,          24454969.764549244,     1176,   1529,   1864,   582,    482,    1322
dfl001.mps,         11266396.04667243,      6529,   9822,   6307,   5702,   6782,   8112
ken-18.mps,         -52217025287.39681,     39173,  10168,  4218,   2802,   3322,   11342
osa-30.mps,         2142139.8732097396,     3177,   2525,   5086,   432,    502,    1532
osa-60.mps,         4044072.503163012,      5829,   9713,   20247,  1482,   1492,   8422
pds-20.mps,         23821658640,            4771,   14095,  10798,  1592,   2312,   4462
qap12.mps,          522.8943505,            25702,  90000,  90000,  5212,   45842,  6912
stocfor3.mps,       -39976.78394364959,     734,    785,    717,    552,    602,    1062
