Model,              Optimal,        GlopPrimal_i7, ClpBest_i7, ClpEither_i7, ClpDualCrash_i7, ClpPrimalIdiot_i7
datt256_lp.mps,     256,            1375842,   1072132,     1072132,       
qap15.mps,          1040.994,       780605,    26002,       26002,      1475352,    78412   
rmine15_lp.mps,     -5042.483,      742031,    461162,      461162,   
s250r10.mps,        -0.172677035,   13287,     17002,       212202,     182102,     17002
